2001 silly cache afterAdd minimist@0.0.8
2002 verbose afterAdd C:\Users\niliev\AppData\Roaming\npm-cache\minimist\0.0.8\package\package.json not in flight; writing
2003 verbose correctMkdir C:\Users\niliev\AppData\Roaming\npm-cache correctMkdir not in flight; initializing
2004 verbose afterAdd C:\Users\niliev\AppData\Roaming\npm-cache\minimist\0.0.8\package\package.json written
2005 silly loadAllDepsIntoIdealTree Finishing
2006 silly loadIdealTree Finishing
2007 silly currentTree nativescript-telerik-ui-sdk-examples@1.6.1
2008 silly idealTree nativescript-telerik-ui-sdk-examples@1.6.1
2008 silly idealTree +-- adm-zip@0.4.7
2008 silly idealTree +-- ansi-regex@2.1.1
2008 silly idealTree +-- ansi-styles@2.2.1
2008 silly idealTree +-- babel-code-frame@6.22.0
2008 silly idealTree +-- babel-messages@6.23.0
2008 silly idealTree +-- babel-runtime@6.23.0
2008 silly idealTree +-- babel-traverse@6.9.0
2008 silly idealTree +-- babel-types@6.9.0
2008 silly idealTree +-- babylon@6.8.0
2008 silly idealTree +-- balanced-match@0.4.2
2008 silly idealTree +-- brace-expansion@1.1.6
2008 silly idealTree +-- chalk@1.1.3
2008 silly idealTree +-- concat-map@0.0.1
2008 silly idealTree +-- core-js@2.4.1
2008 silly idealTree +-- debug@2.6.3
2008 silly idealTree +-- escape-string-regexp@1.0.5
2008 silly idealTree +-- esutils@2.0.2
2008 silly idealTree +-- filewalker@0.1.2
2008 silly idealTree +-- fqueue@0.0.0
2008 silly idealTree +-- glob@6.0.4
2008 silly idealTree +-- globals@8.18.0
2008 silly idealTree +-- has-ansi@2.0.0
2008 silly idealTree +-- inflight@1.0.6
2008 silly idealTree +-- inherits@2.0.3
2008 silly idealTree +-- invariant@2.2.2
2008 silly idealTree +-- js-tokens@3.0.1
2008 silly idealTree +-- lazy@1.0.11
2008 silly idealTree +-- lodash@4.17.4
2008 silly idealTree +-- loose-envify@1.3.1
2008 silly idealTree +-- minimatch@3.0.3
2008 silly idealTree +-- minimist@0.0.8
2008 silly idealTree +-- mkdirp@0.5.1
2008 silly idealTree +-- ms@0.7.2
2008 silly idealTree +-- nativescript-dev-android-snapshot@0.0.6
2008 silly idealTree +-- nativescript-dev-typescript@0.3.7
2008 silly idealTree +-- nativescript-fresco@1.0.16
2008 silly idealTree +-- nativescript-hook@0.2.1
2008 silly idealTree +-- nativescript-telerik-ui-pro@1.6.1
2008 silly idealTree +-- once@1.4.0
